run,pop,herb,rate,dose,rep,surv,biomass,bio_red
1,AT8-EDGE,fomesafen,16x,4208,3,0,0,1
1,AT8-EDGE,fomesafen,16x,4208,4,0,0,1
2,AT2,fomesafen,0.125x,32.875,1,1,0.791,0.24402676
2,AT2,fomesafen,0.125x,32.875,2,1,0.298,0.715195922
2,AT2,fomesafen,0.125x,32.875,3,1,0.536,0.487734947
2,AT2,fomesafen,0.25x,65.75,1,1,0.42,0.59859828
2,AT2,fomesafen,0.25x,65.75,2,0,0,1
2,AT2,fomesafen,0.25x,65.75,3,1,0.665,0.364447276
2,AT2,fomesafen,0.5x,131.5,1,1,0.329,0.685568652
2,AT2,fomesafen,0.5x,131.5,2,1,0.547,0.477222045
2,AT2,fomesafen,0.5x,131.5,3,1,0.531,0.492513539
2,AT2,fomesafen,1x,263,1,1,0.982,0.061484549
2,AT2,fomesafen,1x,263,2,0,0,1
2,AT2,fomesafen,1x,263,3,0,0,1
2,AT2,fomesafen,2x,526,1,1,0.445,0.57470532
2,AT2,fomesafen,2x,526,2,1,0.105,0.89964957
2,AT2,fomesafen,2x,526,3,1,0.131,0.874800892
2,AT2,fomesafen,4x,1052,1,1,0.412,0.606244027
2,AT2,fomesafen,4x,1052,2,1,0.222,0.787830519
2,AT2,fomesafen,4x,1052,3,0,0,1
2,AT2,fomesafen,8x,2104,1,0,0,1
2,AT2,fomesafen,8x,2104,2,0,0,1
2,AT2,fomesafen,8x,2104,3,0,0,1
2,AT8-EDGE,fomesafen,0.125x,32.875,1,0,0,1
2,AT8-EDGE,fomesafen,0.125x,32.875,2,0,0,1
2,AT8-EDGE,fomesafen,0.125x,32.875,3,0,0,1
2,AT8-EDGE,fomesafen,0.25x,65.75,1,0,0,1
2,AT8-EDGE,fomesafen,0.25x,65.75,2,0,0,1
2,AT8-EDGE,fomesafen,0.25x,65.75,3,0,0,1
2,AT8-EDGE,fomesafen,0.5x,131.5,1,0,0,1
2,AT8-EDGE,fomesafen,0.5x,131.5,2,0,0,1
2,AT8-EDGE,fomesafen,0.5x,131.5,3,0,0,1
2,AT8-EDGE,fomesafen,1x,263,1,0,0,1
