run,pop,herb,order,Rate,rep,count,biomass,count_red,bio_red
1,KEI2,S-metolachlor,4,0.5x,1,12,1.2232,0.707317073,1.00E-10
1,KEI2,S-metolachlor,4,0.5x,2,2,0.0071,0.951219512,0.993482352
1,KEI2,S-metolachlor,4,0.5x,3,2,0.1854,0.951219512,0.829806766
1,KEI2,S-metolachlor,4,0.5x,4,0,0,1,1
1,KEI2,S-metolachlor,4,1x,1,0,0,1,1
1,KEI2,S-metolachlor,4,1x,2,0,0,1,1
1,KEI2,S-metolachlor,4,1x,3,1,0.0039,0.975609756,0.996419883
1,KEI2,S-metolachlor,4,1x,4,0,0,1,1
1,KEI2,S-metolachlor,4,3x,1,0,0,1,1
1,KEI2,S-metolachlor,4,3x,2,0,0,1,1
1,KEI2,S-metolachlor,4,3x,3,0,0,1,1
1,KEI2,S-metolachlor,4,3x,4,0,0,1,1
1,KEI2,Mesotrione,2,0.5x,1,3,0.416,0.926829268,0.618120898
1,KEI2,Mesotrione,2,0.5x,2,3,0.3624,0.926829268,0.667324551
1,KEI2,Mesotrione,2,0.5x,3,3,0.9128,0.926829268,0.162069124
1,KEI2,Mesotrione,2,0.5x,4,0,0,1,1
1,KEI2,Mesotrione,2,1x,1,0,0,1,1
1,KEI2,Mesotrione,2,1x,2,0,0,1,1
1,KEI2,Mesotrione,2,1x,3,0,0,1,1
1,KEI2,Mesotrione,2,1x,4,0,0,1,1
1,KEI2,Mesotrione,2,3x,1,0,0,1,1
1,KEI2,Mesotrione,2,3x,2,0,0,1,1
1,KEI2,Mesotrione,2,3x,3,0,0,1,1
1,KEI2,Mesotrione,2,3x,4,0,0,1,1
1,BRO,Atrazine,1,0.5x,1,53,1.8922,1.00E-10,1.00E-10
1,BRO,Atrazine,1,0.5x,2,42,1.994,1.00E-10,1.00E-10
1,BRO,Atrazine,1,0.5x,3,61,1.4982,1.00E-10,0.07906505
1,BRO,Atrazine,1,0.5x,4,31,1.4256,1.00E-10,0.123691854
1,BRO,Atrazine,1,1x,1,22,0.7035,0.266666667,0.567562584
1,BRO,Atrazine,1,1x,2,42,1.0207,1.00E-10,0.372581562
1,BRO,Atrazine,1,1x,3,42,1.8742,1.00E-10,1.00E-10
1,BRO,Atrazine,1,1x,4,14,1.6274,0.533333333,1.00E-10
1,BRO,Atrazine,1,3x,1,3,0.4536,0.9,0.721174681
1,BRO,Atrazine,1,3x,2,31,1.1653,1.00E-10,0.283696771
1,BRO,Atrazine,1,3x,3,24,0.6599,0.2,0.594363254
1,BRO,Atrazine,1,3x,4,17,1.8119,0.433333333,1.00E-10
1,BRO,Metribuzin,3,0.5x,1,3,0.0066,0.9,0.995943018
1,BRO,Metribuzin,3,0.5x,2,6,0.0196,0.8,0.987951992
1,BRO,Metribuzin,3,0.5x,3,3,0.4295,0.9,0.735988813
1,BRO,Metribuzin,3,0.5x,4,1,0.0024,0.966666667,0.998524734
1,BRO,Metribuzin,3,1x,1,0,0,1,1
1,BRO,Metribuzin,3,1x,2,0,0,1,1
1,BRO,Metribuzin,3,1x,3,0,0,1,1
