run,pop,herb,order,rate,rep,count,biomass
1,KEI2,mesotrione,2,1x,3,0,0
1,KEI2,mesotrione,2,1x,4,0,0
1,KEI2,mesotrione,2,3x,1,0,0
1,KEI2,mesotrione,2,3x,2,0,0
1,KEI2,mesotrione,2,3x,3,0,0
1,KEI2,mesotrione,2,3x,4,0,0
1,BRO,control,0,0.5x,1,42,1.7802
1,BRO,control,0,0.5x,2,12,1.1456
1,BRO,control,0,0.5x,3,59,2.2017
1,BRO,control,0,0.5x,4,7,1.3798
1,BRO,atrazine,1,0.5x,1,53,1.8922
1,BRO,atrazine,1,0.5x,2,42,1.994
1,BRO,atrazine,1,0.5x,3,61,1.4982
1,BRO,atrazine,1,0.5x,4,31,1.4256
1,BRO,atrazine,1,1x,1,22,0.7035
1,BRO,atrazine,1,1x,2,42,1.0207
1,BRO,atrazine,1,1x,3,42,1.8742
1,BRO,atrazine,1,1x,4,14,1.6274
1,BRO,atrazine,1,3x,1,3,0.4536
1,BRO,atrazine,1,3x,2,31,1.1653
1,BRO,atrazine,1,3x,3,24,0.6599
1,BRO,atrazine,1,3x,4,17,1.8119
1,BRO,metribuzin,3,0.5x,1,3,0.0066
1,BRO,metribuzin,3,0.5x,2,6,0.0196
1,BRO,metribuzin,3,0.5x,3,3,0.4295
1,BRO,metribuzin,3,0.5x,4,1,0.0024
1,BRO,metribuzin,3,1x,1,0,0
1,BRO,metribuzin,3,1x,2,0,0
1,BRO,metribuzin,3,1x,3,0,0
1,BRO,metribuzin,3,1x,4,0,0
1,BRO,metribuzin,3,3x,1,0,0
1,BRO,metribuzin,3,3x,2,0,0
1,BRO,metribuzin,3,3x,3,0,0
1,BRO,metribuzin,3,3x,4,0,0
1,BRO,sulfentrazone,5,0.5x,1,1,0.2605
1,BRO,sulfentrazone,5,0.5x,2,0,0
1,BRO,sulfentrazone,5,0.5x,3,0,0
1,BRO,sulfentrazone,5,0.5x,4,0,0
1,BRO,sulfentrazone,5,1x,1,2,0.1442
1,BRO,sulfentrazone,5,1x,2,0,0
1,BRO,sulfentrazone,5,1x,3,0,0
1,BRO,sulfentrazone,5,1x,4,0,0
1,BRO,sulfentrazone,5,3x,1,0,0
1,BRO,sulfentrazone,5,3x,2,0,0
1,BRO,sulfentrazone,5,3x,3,0,0
1,BRO,sulfentrazone,5,3x,4,0,0
1,BRO,s-metolachlor,4,0.5x,1,4,0.4688
1,BRO,s-metolachlor,4,0.5x,2,0,0
1,BRO,s-metolachlor,4,0.5x,3,1,0.0103
1,BRO,s-metolachlor,4,0.5x,4,1,0.0126
1,BRO,s-metolachlor,4,1x,1,0,0
1,BRO,s-metolachlor,4,1x,2,0,0
1,BRO,s-metolachlor,4,1x,3,0,0
1,BRO,s-metolachlor,4,1x,4,0,0
1,BRO,s-metolachlor,4,3x,1,0,0
1,BRO,s-metolachlor,4,3x,2,0,0
1,BRO,s-metolachlor,4,3x,3,0,0
1,BRO,s-metolachlor,4,3x,4,0,0
1,BRO,mesotrione,2,0.5x,1,18,0.2398
1,BRO,mesotrione,2,0.5x,2,9,0.1122
1,BRO,mesotrione,2,0.5x,3,9,0.1805
