pop,dose,herb,rep,run,mort,bio_red
KEI2,3.0x,s-metolachlor,4,1,0.99,0.99
KEI2,0.5x,mesotrione,1,1,0.926829268,0.618120898
KEI2,0.5x,mesotrione,2,1,0.926829268,0.667324551
KEI2,0.5x,mesotrione,3,1,0.926829268,0.162069124
KEI2,0.5x,mesotrione,4,1,0.99,0.99
KEI2,1.0x,mesotrione,1,1,0.99,0.99
KEI2,1.0x,mesotrione,2,1,0.99,0.99
KEI2,1.0x,mesotrione,3,1,0.99,0.99
KEI2,1.0x,mesotrione,4,1,0.99,0.99
KEI2,3.0x,mesotrione,1,1,0.99,0.99
KEI2,3.0x,mesotrione,2,1,0.99,0.99
KEI2,3.0x,mesotrione,3,1,0.99,0.99
KEI2,3.0x,mesotrione,4,1,0.99,0.99
BRO,0.5x,atrazine,1,1,0.01,0.01
BRO,0.5x,atrazine,2,1,0.01,0.01
BRO,0.5x,atrazine,3,1,0.01,0.07906505
BRO,0.5x,atrazine,4,1,0.01,0.123691854
BRO,1.0x,atrazine,1,1,0.266666667,0.567562584
BRO,1.0x,atrazine,2,1,0.01,0.372581562
BRO,1.0x,atrazine,3,1,0.01,0.01
BRO,1.0x,atrazine,4,1,0.533333333,0.01
BRO,3.0x,atrazine,1,1,0.9,0.721174681
BRO,3.0x,atrazine,2,1,0.01,0.283696771
BRO,3.0x,atrazine,3,1,0.2,0.594363254
BRO,3.0x,atrazine,4,1,0.433333333,0.01
BRO,0.5x,metribuzin,1,1,0.9,0.995943018
BRO,0.5x,metribuzin,2,1,0.8,0.987951992
BRO,0.5x,metribuzin,3,1,0.9,0.735988813
BRO,0.5x,metribuzin,4,1,0.966666667,0.998524734
BRO,1.0x,metribuzin,1,1,0.99,0.99
BRO,1.0x,metribuzin,2,1,0.99,0.99
BRO,1.0x,metribuzin,3,1,0.99,0.99
BRO,1.0x,metribuzin,4,1,0.99,0.99
BRO,3.0x,metribuzin,1,1,0.99,0.99
BRO,3.0x,metribuzin,2,1,0.99,0.99
BRO,3.0x,metribuzin,3,1,0.99,0.99
BRO,3.0x,metribuzin,4,1,0.99,0.99
BRO,0.5x,sulfentrazone,1,1,0.966666667,0.839872144
BRO,0.5x,sulfentrazone,2,1,0.99,0.99
BRO,0.5x,sulfentrazone,3,1,0.99,0.99
BRO,0.5x,sulfentrazone,4,1,0.99,0.99
BRO,1.0x,sulfentrazone,1,1,0.933333333,0.911361087
BRO,1.0x,sulfentrazone,2,1,0.99,0.99
BRO,1.0x,sulfentrazone,3,1,0.99,0.99
BRO,1.0x,sulfentrazone,4,1,0.99,0.99
BRO,3.0x,sulfentrazone,1,1,0.99,0.99
BRO,3.0x,sulfentrazone,2,1,0.99,0.99
BRO,3.0x,sulfentrazone,3,1,0.99,0.99
BRO,3.0x,sulfentrazone,4,1,0.99,0.99
BRO,0.5x,s-metolachlor,1,1,0.866666667,0.711831328
BRO,0.5x,s-metolachlor,2,1,0.99,0.99
BRO,0.5x,s-metolachlor,3,1,0.966666667,0.993668649
BRO,0.5x,s-metolachlor,4,1,0.966666667,0.992254852
BRO,1.0x,s-metolachlor,1,1,0.99,0.99
BRO,1.0x,s-metolachlor,2,1,0.99,0.99
BRO,1.0x,s-metolachlor,3,1,0.99,0.99
BRO,1.0x,s-metolachlor,4,1,0.99,0.99
BRO,3.0x,s-metolachlor,1,1,0.99,0.99
BRO,3.0x,s-metolachlor,2,1,0.99,0.99
BRO,3.0x,s-metolachlor,3,1,0.99,0.99
BRO,3.0x,s-metolachlor,4,1,0.99,0.99
BRO,0.5x,mesotrione,1,1,0.4,0.852596315
BRO,0.5x,mesotrione,2,1,0.7,0.931031303
BRO,0.5x,mesotrione,3,1,0.7,0.889047685
BRO,0.5x,mesotrione,4,1,0.933333333,0.846756719
BRO,1.0x,mesotrione,1,1,0.99,0.99
BRO,1.0x,mesotrione,2,1,0.8,0.966253285
BRO,1.0x,mesotrione,3,1,0.9,0.99145575
BRO,1.0x,mesotrione,4,1,0.99,0.99
BRO,3.0x,mesotrione,1,1,0.99,0.99
BRO,3.0x,mesotrione,2,1,0.99,0.99
BRO,3.0x,mesotrione,3,1,0.99,0.99
BRO,3.0x,mesotrione,4,1,0.99,0.99
KEI3,0.5x,atrazine,1,2,0.99,0.99
KEI3,0.5x,atrazine,2,2,0.99,0.99
KEI3,0.5x,atrazine,3,2,0.99,0.99
KEI3,0.5x,atrazine,4,2,0.99,0.99
KEI3,1.0x,atrazine,1,2,0.99,0.99
KEI3,1.0x,atrazine,2,2,0.99,0.99
KEI3,1.0x,atrazine,3,2,0.958115183,0.974187094
KEI3,1.0x,atrazine,4,2,0.99,0.99
KEI3,3.0x,atrazine,1,2,0.99,0.99
KEI3,3.0x,atrazine,2,2,0.99,0.99
KEI3,3.0x,atrazine,3,2,0.979057592,0.996398199
KEI3,3.0x,atrazine,4,2,0.99,0.99
KEI3,0.5x,metribuzin,1,2,0.99,0.99
KEI3,0.5x,metribuzin,2,2,0.979057592,0.986893447
KEI3,0.5x,metribuzin,3,2,0.99,0.99
KEI3,0.5x,metribuzin,4,2,0.99,0.99
KEI3,1.0x,metribuzin,1,2,0.99,0.99
KEI3,1.0x,metribuzin,2,2,0.99,0.99
KEI3,1.0x,metribuzin,3,2,0.99,0.99
KEI3,1.0x,metribuzin,4,2,0.99,0.99
KEI3,3.0x,metribuzin,1,2,0.99,0.99
KEI3,3.0x,metribuzin,2,2,0.99,0.99
KEI3,3.0x,metribuzin,3,2,0.99,0.99
KEI3,3.0x,metribuzin,4,2,0.99,0.99
KEI3,0.5x,sulfentrazone,1,2,0.99,0.99
KEI3,0.5x,sulfentrazone,2,2,0.99,0.99
KEI3,0.5x,sulfentrazone,3,2,0.99,0.99
KEI3,0.5x,sulfentrazone,4,2,0.99,0.99
KEI3,1.0x,sulfentrazone,1,2,0.99,0.99
KEI3,1.0x,sulfentrazone,2,2,0.99,0.99
KEI3,1.0x,sulfentrazone,3,2,0.99,0.99
KEI3,1.0x,sulfentrazone,4,2,0.99,0.99
KEI3,3.0x,sulfentrazone,1,2,0.99,0.99
KEI3,3.0x,sulfentrazone,2,2,0.99,0.99
KEI3,3.0x,sulfentrazone,3,2,0.99,0.99
KEI3,3.0x,sulfentrazone,4,2,0.99,0.99
KEI3,0.5x,s-metolachlor,1,2,0.99,0.99
KEI3,0.5x,s-metolachlor,2,2,0.99,0.99
KEI3,0.5x,s-metolachlor,3,2,0.99,0.99
KEI3,0.5x,s-metolachlor,4,2,0.99,0.99
KEI3,1.0x,s-metolachlor,1,2,0.99,0.99
KEI3,1.0x,s-metolachlor,2,2,0.99,0.99
KEI3,1.0x,s-metolachlor,3,2,0.99,0.99
KEI3,1.0x,s-metolachlor,4,2,0.99,0.99
KEI3,3.0x,s-metolachlor,1,2,0.99,0.99
KEI3,3.0x,s-metolachlor,2,2,0.99,0.99
KEI3,3.0x,s-metolachlor,3,2,0.99,0.99
KEI3,3.0x,s-metolachlor,4,2,0.99,0.99
KEI3,0.5x,mesotrione,1,2,0.99,0.99
KEI3,0.5x,mesotrione,2,2,0.99,0.99
KEI3,0.5x,mesotrione,3,2,0.916230366,0.635817909
KEI3,0.5x,mesotrione,4,2,0.99,0.99
KEI3,1.0x,mesotrione,1,2,0.99,0.99
KEI3,1.0x,mesotrione,2,2,0.979057592,0.994797399
KEI3,1.0x,mesotrione,3,2,0.99,0.99
KEI3,1.0x,mesotrione,4,2,0.99,0.99
KEI3,3.0x,mesotrione,1,2,0.99,0.99
KEI3,3.0x,mesotrione,2,2,0.99,0.99
KEI3,3.0x,mesotrione,3,2,0.99,0.99
KEI3,3.0x,mesotrione,4,2,0.99,0.99
KEI2,0.5x,atrazine,1,2,0.685393258,0.632744311
KEI2,0.5x,atrazine,2,2,0.01,0.261507365
KEI2,0.5x,atrazine,3,2,0.01,0.262977368
KEI2,0.5x,atrazine,4,2,0.01,0.32820874
KEI2,1.0x,atrazine,1,2,0.91011236,0.844424708
KEI2,1.0x,atrazine,2,2,0.415730337,0.01
KEI2,1.0x,atrazine,3,2,0.99,0.99
KEI2,1.0x,atrazine,4,2,0.01,0.048295716
KEI2,3.0x,atrazine,1,2,0.99,0.99
KEI2,3.0x,atrazine,2,2,0.99,0.99
KEI2,3.0x,atrazine,3,2,0.95505618,0.902612317
KEI2,3.0x,atrazine,4,2,0.91011236,0.939484887
KEI2,0.5x,metribuzin,1,2,0.99,0.99
KEI2,0.5x,metribuzin,2,2,0.99,0.99
KEI2,0.5x,metribuzin,3,2,0.95505618,0.988484978
KEI2,0.5x,metribuzin,4,2,0.99,0.99
KEI2,1.0x,metribuzin,1,2,0.99,0.99
KEI2,1.0x,metribuzin,2,2,0.99,0.99
KEI2,1.0x,metribuzin,3,2,0.99,0.99
KEI2,1.0x,metribuzin,4,2,0.99,0.99
KEI2,3.0x,metribuzin,1,2,0.99,0.99
KEI2,3.0x,metribuzin,2,2,0.99,0.99
KEI2,3.0x,metribuzin,3,2,0.99,0.99
KEI2,3.0x,metribuzin,4,2,0.99,0.99
KEI2,0.5x,sulfentrazone,1,2,0.99,0.99
KEI2,0.5x,sulfentrazone,2,2,0.99,0.99
KEI2,0.5x,sulfentrazone,3,2,0.99,0.99
KEI2,0.5x,sulfentrazone,4,2,0.99,0.99
KEI2,1.0x,sulfentrazone,1,2,0.99,0.99
KEI2,1.0x,sulfentrazone,2,2,0.99,0.99
KEI2,1.0x,sulfentrazone,3,2,0.99,0.99
KEI2,1.0x,sulfentrazone,4,2,0.99,0.99
KEI2,3.0x,sulfentrazone,1,2,0.99,0.99
KEI2,3.0x,sulfentrazone,2,2,0.99,0.99
KEI2,3.0x,sulfentrazone,3,2,0.99,0.99
KEI2,3.0x,sulfentrazone,4,2,0.99,0.99
KEI2,0.5x,s-metolachlor,1,2,0.99,0.99
KEI2,0.5x,s-metolachlor,2,2,0.91011236,0.933604876
KEI2,0.5x,s-metolachlor,3,2,0.99,0.99
KEI2,0.5x,s-metolachlor,4,2,0.99,0.99
KEI2,1.0x,s-metolachlor,1,2,0.99,0.99
KEI2,1.0x,s-metolachlor,2,2,0.99,0.99
KEI2,1.0x,s-metolachlor,3,2,0.99,0.99
KEI2,1.0x,s-metolachlor,4,2,0.99,0.99
KEI2,3.0x,s-metolachlor,1,2,0.99,0.99
KEI2,3.0x,s-metolachlor,2,2,0.99,0.99
KEI2,3.0x,s-metolachlor,3,2,0.99,0.99
KEI2,3.0x,s-metolachlor,4,2,0.99,0.99
KEI2,0.5x,mesotrione,1,2,0.99,0.99
KEI2,0.5x,mesotrione,2,2,0.865168539,0.934462377
KEI2,0.5x,mesotrione,3,2,0.01,0.635071816
KEI2,0.5x,mesotrione,4,2,0.99,0.99
KEI2,1.0x,mesotrione,1,2,0.95505618,0.999387499
KEI2,1.0x,mesotrione,2,2,0.99,0.99
KEI2,1.0x,mesotrione,3,2,0.95505618,0.995099991
KEI2,1.0x,mesotrione,4,2,0.99,0.99
KEI2,3.0x,mesotrione,1,2,0.99,0.99
KEI2,3.0x,mesotrione,2,2,0.99,0.99
KEI2,3.0x,mesotrione,3,2,0.99,0.99
KEI2,3.0x,mesotrione,4,2,0.99,0.99
BRO,0.5x,atrazine,1,2,0.01,0.01
BRO,0.5x,atrazine,2,2,0.99,0.99
BRO,0.5x,atrazine,3,2,0.069306931,0.01
BRO,0.5x,atrazine,4,2,0.108910891,0.01
BRO,1.0x,atrazine,1,2,0.99,0.99
BRO,1.0x,atrazine,2,2,0.940594059,0.01
BRO,1.0x,atrazine,3,2,0.98019802,0.252467464
BRO,1.0x,atrazine,4,2,0.267326733,0.103112509
BRO,3.0x,atrazine,1,2,0.99,0.99
BRO,3.0x,atrazine,2,2,0.920792079,0.78517438
BRO,3.0x,atrazine,3,2,0.326732673,0.216852634
BRO,3.0x,atrazine,4,2,0.722772277,0.115464035
BRO,0.5x,metribuzin,1,2,0.99,0.99
BRO,0.5x,metribuzin,2,2,0.99,0.99
BRO,0.5x,metribuzin,3,2,0.99,0.99
BRO,0.5x,metribuzin,4,2,0.99,0.99
BRO,1.0x,metribuzin,1,2,0.98019802,0.9907553
BRO,1.0x,metribuzin,2,2,0.99,0.99
BRO,1.0x,metribuzin,3,2,0.99,0.99
BRO,1.0x,metribuzin,4,2,0.99,0.99
BRO,3.0x,metribuzin,1,2,0.99,0.99
BRO,3.0x,metribuzin,2,2,0.99,0.99
BRO,3.0x,metribuzin,3,2,0.99,0.99
BRO,3.0x,metribuzin,4,2,0.99,0.99
BRO,0.5x,sulfentrazone,1,2,0.99,0.99
BRO,0.5x,sulfentrazone,2,2,0.99,0.99
BRO,0.5x,sulfentrazone,3,2,0.99,0.99
BRO,0.5x,sulfentrazone,4,2,0.99,0.99
BRO,1.0x,sulfentrazone,1,2,0.99,0.99
BRO,1.0x,sulfentrazone,2,2,0.99,0.99
BRO,1.0x,sulfentrazone,3,2,0.99,0.99
BRO,1.0x,sulfentrazone,4,2,0.99,0.99
BRO,3.0x,sulfentrazone,1,2,0.99,0.99
BRO,3.0x,sulfentrazone,2,2,0.99,0.99
BRO,3.0x,sulfentrazone,3,2,0.99,0.99
BRO,3.0x,sulfentrazone,4,2,0.99,0.99
BRO,0.5x,s-metolachlor,1,2,0.98019802,0.666736128
BRO,0.5x,s-metolachlor,2,2,0.900990099,0.160399341
BRO,0.5x,s-metolachlor,3,2,0.96039604,0.428495652
BRO,0.5x,s-metolachlor,4,2,0.99,0.99
BRO,1.0x,s-metolachlor,1,2,0.99,0.99
BRO,1.0x,s-metolachlor,2,2,0.96039604,0.780400477
BRO,1.0x,s-metolachlor,3,2,0.99,0.99
BRO,1.0x,s-metolachlor,4,2,0.99,0.99
BRO,3.0x,s-metolachlor,1,2,0.99,0.99
BRO,3.0x,s-metolachlor,2,2,0.99,0.99
BRO,3.0x,s-metolachlor,3,2,0.99,0.99
BRO,3.0x,s-metolachlor,4,2,0.99,0.99
BRO,0.5x,mesotrione,1,2,0.99,0.99
BRO,0.5x,mesotrione,2,2,0.940594059,0.965218709
BRO,0.5x,mesotrione,3,2,0.99,0.99
BRO,0.5x,mesotrione,4,2,0.99,0.99
BRO,1.0x,mesotrione,1,2,0.99,0.99
BRO,1.0x,mesotrione,2,2,0.99,0.99
BRO,1.0x,mesotrione,3,2,0.99,0.99
BRO,1.0x,mesotrione,4,2,0.99,0.99
BRO,3.0x,mesotrione,1,2,0.99,0.99
BRO,3.0x,mesotrione,2,2,0.99,0.99
BRO,3.0x,mesotrione,3,2,0.99,0.99
BRO,3.0x,mesotrione,4,2,0.99,0.99
