id,run,pop,herb,dose,rate,rep,count,biomass,percentcount,percentbio,countred,biored
86,2,A92,flumi,0.015x,2,2,14,0.416,0.48,0.24,0.52,0.76
87,2,A92,flumi,0.015x,2,3,56,1.369,1.00,0.79,0.00,0.21
88,2,A92,flumi,0.015x,2,4,26,0.994,0.90,0.57,0.10,0.43
89,2,A92,flumi,0.031x,3,1,3,0.039,0.10,0.02,0.90,0.98
90,2,A92,flumi,0.031x,3,2,2,0.008,0.07,0.00,0.93,1.00
91,2,A92,flumi,0.031x,3,3,11,0.089,0.38,0.05,0.62,0.95
92,2,A92,flumi,0.031x,3,4,32,1.178,1.00,0.68,0.00,0.32
93,2,A92,flumi,0.062x,7,1,23,0.46,0.79,0.27,0.21,0.73
94,2,A92,flumi,0.062x,7,2,,,,,,
95,2,A92,flumi,0.062x,7,3,,,,,,
96,2,A92,flumi,0.062x,7,4,11,0.361,0.38,0.21,0.62,0.79
97,2,A92,flumi,0.125x,13,1,29,1.854,1.00,1.00,0.00,0.00
98,2,A92,flumi,0.125x,13,2,14,0.271,0.48,0.16,0.52,0.84
99,2,A92,flumi,0.125x,13,3,,0.81,,0.47,,0.53
100,2,A92,flumi,0.125x,13,4,21,1.701,0.72,0.98,0.28,0.02
101,2,A92,flumi,0.25x,27,1,19,1.442,0.66,0.83,0.34,0.17
102,2,A92,flumi,0.25x,27,2,4,0.085,0.14,0.05,0.86,0.95
103,2,A92,flumi,0.25x,27,3,0,0,0.00,0.00,1.00,1.00
104,2,A92,flumi,0.25x,27,4,0,0,0.00,0.00,1.00,1.00
105,2,A92,flumi,0.5x,53,1,2,0.089,0.07,0.05,0.93,0.95
106,2,A92,flumi,0.5x,53,2,12,0.124,0.41,0.07,0.59,0.93
107,2,A92,flumi,0.5x,53,3,0,0,0.00,0.00,1.00,1.00
108,2,A92,flumi,0.5x,53,4,0,0,0.00,0.00,1.00,1.00
109,2,A92,flumi,1x,106,1,0,0,0.00,0.00,1.00,1.00
110,2,A92,flumi,1x,106,2,4,0.04,0.14,0.02,0.86,0.98
111,2,A92,flumi,1x,106,3,2,0.001,0.07,0.00,0.93,1.00
112,2,A92,flumi,1x,106,4,2,0.011,0.07,0.01,0.93,0.99
113,2,A92,flumi,2x,212,1,1,0.001,0.03,0.00,0.97,1.00
114,2,A92,flumi,2x,212,2,0,0,0.00,0.00,1.00,1.00
115,2,A92,flumi,2x,212,3,0,0,0.00,0.00,1.00,1.00
116,2,A92,flumi,2x,212,4,0,0,0.00,0.00,1.00,1.00
117,2,A92,flumi,4x,424,1,0,0,0.00,0.00,1.00,1.00
118,2,A92,flumi,4x,424,2,0,0,0.00,0.00,1.00,1.00
119,2,A92,flumi,4x,424,3,0,0,0.00,0.00,1.00,1.00
120,2,A92,flumi,4x,424,4,0,0,0.00,0.00,1.00,1.00
121,2,A92,flumi,8x,848,1,0,0,0.00,0.00,1.00,1.00
122,2,A92,flumi,8x,848,2,0,0,0.00,0.00,1.00,1.00
123,2,A92,flumi,8x,848,3,0,0,0.00,0.00,1.00,1.00
124,2,A92,flumi,8x,848,4,0,0,0.00,0.00,1.00,1.00
125,2,A66,flumi,0x,0,1,,,,,,
126,2,A66,flumi,0x,0,2,25,2.32,1.00,1.00,0.00,0.00
127,2,A66,flumi,0x,0,3,25,1.686,1.00,1.00,0.00,0.00
209,2,A66,flumi,0.015x,2,1,3,0.118,0.16,0.09,0.84,0.91
210,2,A66,flumi,0.015x,2,2,3,0.042,0.16,0.03,0.84,0.97
211,2,A66,flumi,0.015x,2,3,4,0.156,0.21,0.12,0.79,0.88
212,2,A66,flumi,0.015x,2,4,3,0.021,0.16,0.02,0.84,0.98
213,2,A66,flumi,0.031x,3,1,1,0.023,0.05,0.02,0.95,0.98
214,2,A66,flumi,0.031x,3,2,1,0.01,0.05,0.01,0.95,0.99
215,2,A66,flumi,0.031x,3,3,4,0.013,0.21,0.01,0.79,0.99
216,2,A66,flumi,0.031x,3,4,0,0,0.00,0.00,1.00,1.00
217,2,A66,flumi,0.062x,7,1,0,0,0.00,0.00,1.00,1.00
218,2,A66,flumi,0.062x,7,2,0,0,0.00,0.00,1.00,1.00
