id,run,pop,herb,rate,rep,surv,biomass
40,2,AT12,lac,876,4,0,0
41,2,AT12,lac,1752,1,0,0
42,2,AT12,lac,1752,2,0,0
43,2,AT12,lac,1752,3,0,0
44,2,AT12,lac,1752,4,1,0.218
45,2,AT12,lac,3504,1,0,0
46,2,AT12,lac,3504,2,0,0
47,2,AT12,lac,3504,3,0,0
48,2,AT12,lac,3504,4,0,0
49,2,AT15,lac,0,1,1,3.533
50,2,AT15,lac,0,2,1,2.384
51,2,AT15,lac,0,3,1,3.392
52,2,AT15,lac,0,4,1,2.79
53,2,AT15,lac,3,1,1,0.898
54,2,AT15,lac,3,2,1,0.289
55,2,AT15,lac,3,3,1,0.371
56,2,AT15,lac,3,4,1,1.848
57,2,AT15,lac,7,1,1,1.103
58,2,AT15,lac,7,2,1,1.474
59,2,AT15,lac,7,3,1,0.595
60,2,AT15,lac,7,4,1,1.374
61,2,AT15,lac,14,1,0,0
62,2,AT15,lac,14,2,1,0.169
63,2,AT15,lac,14,3,1,0.323
64,2,AT15,lac,14,4,1,0.622
65,2,AT15,lac,27,1,0,0
66,2,AT15,lac,27,2,1,0.162
67,2,AT15,lac,27,3,0,0
68,2,AT15,lac,27,4,0,0
69,2,AT15,lac,55,1,0,0
70,2,AT15,lac,55,2,0,0
71,2,AT15,lac,55,3,0,0
72,2,AT15,lac,55,4,0,0
73,2,AT15,lac,110,1,0,0
74,2,AT15,lac,110,2,0,0
75,2,AT15,lac,110,3,0,0
76,2,AT15,lac,110,4,0,0
77,2,AT15,lac,219,1,0,0
78,2,AT15,lac,219,2,0,0
79,2,AT15,lac,219,3,0,0
80,2,AT15,lac,219,4,0,0
81,2,AT15,lac,438,1,0,0
82,2,AT15,lac,438,2,0,0
83,2,AT15,lac,438,3,0,0
84,2,AT15,lac,438,4,0,0
85,2,AT15,lac,876,1,0,0
86,2,AT15,lac,876,2,0,0
87,2,AT15,lac,876,3,0,0
88,2,AT15,lac,876,4,0,0
89,2,AT15,lac,1752,1,0,0
90,2,AT15,lac,1752,2,0,0
91,2,AT15,lac,1752,3,0,0
92,2,AT15,lac,1752,4,0,0
93,2,AT15,lac,3504,1,0,0
94,2,AT15,lac,3504,2,0,0
95,2,AT15,lac,3504,3,0,0
96,2,AT15,lac,3504,4,0,0
