id,run,pop,herb,dose,rate,rep,count,biomass
178,2,A66,fome,0.062x,16,2,9,0.394
179,2,A66,fome,0.062x,16,3,0,0
181,2,A66,fome,0.125x,33,1,3,0.074
182,2,A66,fome,0.125x,33,2,5,0.497
183,2,A66,fome,0.125x,33,3,5,0.102
185,2,A66,fome,0.25x,66,1,2,0.018
186,2,A66,fome,0.25x,66,2,1,0.045
187,2,A66,fome,0.25x,66,3,4,0.137
189,2,A66,fome,0.5x,132,1,0,0
190,2,A66,fome,0.5x,132,2,3,0.015
191,2,A66,fome,0.5x,132,3,1,0.003
193,2,A66,fome,1x,263,1,0,0
194,2,A66,fome,1x,263,2,0,0
195,2,A66,fome,1x,263,3,0,0
