id,run,pop,herb,dose,rate,rep,count,biomass,percentcount,percentbio,countred,biored
190,1,A66,fome,0.5x,132,2,1,0.003,0.10,0.01,0.90,0.99
191,1,A66,fome,0.5x,132,3,1,0.001,0.10,0.00,0.90,1.00
192,1,A66,fome,0.5x,132,4,1,0.001,0.10,0.00,0.90,1.00
193,1,A66,fome,1x,263,1,,0.196,,0.55,0.00,0.45
194,1,A66,fome,1x,263,2,0,0,0.00,0.00,1.00,1.00
195,1,A66,fome,1x,263,3,0,0,0.00,0.00,1.00,1.00
196,1,A66,fome,1x,263,4,0,0,0.00,0.00,1.00,1.00
1,2,A92,fome,0x,0,1,24,2.062,1.00,1.00,0.00,0.00
2,2,A92,fome,0x,0,2,12,1.616,1.00,1.00,0.00,0.00
3,2,A92,fome,0x,0,3,25,1.125,1.00,1.00,0.00,0.00
4,2,A92,fome,0x,0,4,55,2.125,1.00,1.00,0.00,0.00
45,2,A92,fome,0.015x,4,1,15,0.597,0.52,0.34,0.48,0.66
46,2,A92,fome,0.015x,4,2,21,1.003,0.72,0.58,0.28,0.42
47,2,A92,fome,0.015x,4,3,24,0.781,0.83,0.45,0.17,0.55
48,2,A92,fome,0.015x,4,4,16,1.125,0.55,0.65,0.45,0.35
49,2,A92,fome,0.031x,8,1,16,0.604,0.55,0.35,0.45,0.65
50,2,A92,fome,0.031x,8,2,4,0.065,0.14,0.04,0.86,0.96
51,2,A92,fome,0.031x,8,3,22,1.776,0.76,1.00,0.24,0.00
52,2,A92,fome,0.031x,8,4,42,2.039,1.00,1.00,0.00,0.00
53,2,A92,fome,0.062x,16,1,11,0.298,0.38,0.17,0.62,0.83
54,2,A92,fome,0.062x,16,2,15,0.355,0.52,0.20,0.48,0.80
55,2,A92,fome,0.062x,16,3,12,0.44,0.41,0.25,0.59,0.75
56,2,A92,fome,0.062x,16,4,29,0.445,1.00,0.26,0.00,0.74
57,2,A92,fome,0.125x,33,1,12,0.717,0.41,0.41,0.59,0.59
58,2,A92,fome,0.125x,33,2,39,1.912,1.00,1.00,0.00,0.00
59,2,A92,fome,0.125x,33,3,16,1.176,0.55,0.68,0.45,0.32
60,2,A92,fome,0.125x,33,4,29,1.856,1.00,1.00,0.00,0.00
61,2,A92,fome,0.25x,66,1,18,0.689,0.62,0.40,0.38,0.60
62,2,A92,fome,0.25x,66,2,14,0.428,0.48,0.25,0.52,0.75
63,2,A92,fome,0.25x,66,3,23,0.34,0.79,0.20,0.21,0.80
64,2,A92,fome,0.25x,66,4,24,1.008,0.83,0.58,0.17,0.42
65,2,A92,fome,0.5x,132,1,26,0.914,0.90,0.53,0.10,0.47
66,2,A92,fome,0.5x,132,2,14,0.614,0.48,0.35,0.52,0.65
67,2,A92,fome,0.5x,132,3,14,0.25,0.48,0.14,0.52,0.86
68,2,A92,fome,0.5x,132,4,8,0.08,0.28,0.05,0.72,0.95
69,2,A92,fome,1x,263,1,4,0.047,0.14,0.03,0.86,0.97
70,2,A92,fome,1x,263,2,4,0.046,0.14,0.03,0.86,0.97
71,2,A92,fome,1x,263,3,5,0.015,0.17,0.01,0.83,0.99
72,2,A92,fome,1x,263,4,10,0.123,0.34,0.07,0.66,0.93
73,2,A92,fome,2x,526,1,13,0.209,0.45,0.12,0.55,0.88
74,2,A92,fome,2x,526,2,8,0.036,0.28,0.02,0.72,0.98
75,2,A92,fome,2x,526,3,12,0.169,0.41,0.10,0.59,0.90
76,2,A92,fome,2x,526,4,6,0.028,0.21,0.02,0.79,0.98
77,2,A92,fome,4x,1052,1,0,0,0.00,0.00,1.00,1.00
78,2,A92,fome,4x,1052,2,0,0,0.00,0.00,1.00,1.00
79,2,A92,fome,4x,1052,3,0,0,0.00,0.00,1.00,1.00
80,2,A92,fome,4x,1052,4,0,0,0.00,0.00,1.00,1.00
81,2,A92,fome,8x,2104,1,0,0,0.00,0.00,1.00,1.00
82,2,A92,fome,8x,2104,2,0,0,0.00,0.00,1.00,1.00
83,2,A92,fome,8x,2104,3,0,0,0.00,0.00,1.00,1.00
84,2,A92,fome,8x,2104,4,3,0.013,0.10,0.01,0.90,0.99
125,2,A66,fome,0x,0,1,7,0.052,1.00,1.00,0.00,0.00
126,2,A66,fome,0x,0,2,25,2.32,1.00,1.00,0.00,0.00
127,2,A66,fome,0x,0,3,25,1.686,1.00,1.00,0.00,0.00
169,2,A66,fome,0.015x,4,1,38,1.657,1.00,1.00,0.00,0.00
170,2,A66,fome,0.015x,4,2,36,1.985,1.00,1.00,0.00,0.00
171,2,A66,fome,0.015x,4,3,1,0.023,0.05,0.02,0.95,0.98
172,2,A66,fome,0.015x,4,4,16,0.695,0.84,0.51,0.16,0.49
173,2,A66,fome,0.031x,8,1,4,0.023,0.21,0.02,0.79,0.98
174,2,A66,fome,0.031x,8,2,14,0.553,0.74,0.41,0.26,0.59
175,2,A66,fome,0.031x,8,3,8,0.136,0.42,0.10,0.58,0.90
176,2,A66,fome,0.031x,8,4,5,0.227,0.26,0.17,0.74,0.83
177,2,A66,fome,0.062x,16,1,,0,,0.00,1.00,1.00
178,2,A66,fome,0.062x,16,2,9,0.394,0.47,0.29,0.53,0.71
179,2,A66,fome,0.062x,16,3,,0,,0.00,1.00,1.00
181,2,A66,fome,0.125x,33,1,3,0.074,0.16,0.05,0.84,0.95
182,2,A66,fome,0.125x,33,2,5,0.497,0.26,0.37,0.74,0.63
183,2,A66,fome,0.125x,33,3,5,0.102,0.26,0.08,0.74,0.92
185,2,A66,fome,0.25x,66,1,2,0.018,0.11,0.01,0.89,0.99
186,2,A66,fome,0.25x,66,2,1,0.045,0.05,0.03,0.95,0.97
187,2,A66,fome,0.25x,66,3,4,0.137,0.21,0.10,0.79,0.90
189,2,A66,fome,0.5x,132,1,0,0,0.00,0.00,1.00,1.00
190,2,A66,fome,0.5x,132,2,3,0.015,0.16,0.01,0.84,0.99
191,2,A66,fome,0.5x,132,3,1,0.003,0.05,0.00,0.95,1.00
193,2,A66,fome,1x,263,1,0,0,0.00,0.00,1.00,1.00
194,2,A66,fome,1x,263,2,0,0,0.00,0.00,1.00,1.00
195,2,A66,fome,1x,263,3,0,0,0.00,0.00,1.00,1.00
