run,pop,herb,rate,rep,count,biomass
2,A66,sulf,0,1,13,0.176
2,A66,sulf,0,2,5,0.02
2,A66,sulf,0,3,4,0.023
2,A66,sulf,0,4,5,0.208
2,A66,sulf,35,1,0,0
2,A66,sulf,35,2,2,0.006
2,A66,sulf,35,3,0,0
2,A66,sulf,35,4,0,0
2,A66,sulf,70,1,0,0
2,A66,sulf,70,2,0,0
2,A66,sulf,70,3,0,0
2,A66,sulf,70,4,0,0
2,A66,sulf,140,1,0,0
2,A66,sulf,140,2,0,0
2,A66,sulf,140,3,0,0
2,A66,sulf,140,4,0,0
2,A66,sulf,280,1,0,0
2,A66,sulf,280,2,0,0
2,A66,sulf,280,3,0,0
2,A66,sulf,280,4,0,0
2,A66,sulf,560,1,0,0
2,A66,sulf,560,2,0,0
2,A66,sulf,560,3,0,0
2,A66,sulf,560,4,0,0
2,A66,sulf,1120,1,0,0
2,A66,sulf,1120,2,0,0
2,A66,sulf,1120,3,0,0
2,A66,sulf,1120,4,0,0
2,A66,sulf,2240,1,0,0
2,A66,sulf,2240,2,0,0
2,A66,sulf,2240,3,0,0
2,A66,sulf,2240,4,0,0
2,BS,fome,0,1,6,0.016
2,BS,fome,0,2,5,0.103
2,BS,fome,0,3,26,0.304
2,BS,fome,0,4,13,0.227
2,BS,fome,33,1,18,0.266
2,BS,fome,33,2,12,0.238
2,BS,fome,33,3,14,0.308
2,BS,fome,33,4,36,0.822
2,BS,fome,66,1,1,0.014
2,BS,fome,66,2,0,0
2,BS,fome,66,3,1,0.005
2,BS,fome,66,4,40,0.441
2,BS,fome,132,1,4,0.005
2,BS,fome,132,2,0,0
2,BS,fome,132,3,0,0
2,BS,fome,132,4,17,0.22
2,BS,fome,263,1,0,0
2,BS,fome,263,2,0,0
2,BS,fome,263,3,0,0
2,BS,fome,263,4,0,0
2,BS,fome,526,1,0,0
2,BS,fome,526,2,0,0
2,BS,fome,526,3,0,0
2,BS,fome,526,4,0,0
2,BS,fome,1052,1,0,0
2,BS,fome,1052,2,0,0
2,BS,fome,1052,3,0,0
2,BS,fome,1052,4,0,0
2,BS,fome,2104,1,0,0
2,BS,fome,2104,2,2,0.014
2,BS,fome,2104,3,0,0
2,BS,fome,2104,4,0,0
2,A66,fome,0,1,0,0
2,A66,fome,0,2,0,0
2,A66,fome,0,3,0,0
2,A66,fome,0,4,16,0.142
2,A66,fome,33,1,0,0
2,A66,fome,33,2,4,0.018
2,A66,fome,33,3,0,0
2,A66,fome,33,4,0,0
2,A66,fome,66,1,1,0.008
2,A66,fome,66,2,0,0
2,A66,fome,66,3,0,0
2,A66,fome,66,4,0,0
2,A66,fome,132,1,0,0
2,A66,fome,132,2,0,0
2,A66,fome,132,3,0,0
2,A66,fome,132,4,0,0
2,A66,fome,263,1,0,0
2,A66,fome,263,2,0,0
2,A66,fome,263,3,0,0
