run,pop,Herbicide,Rate,rep,count,biomass,count_red,bio_red
1,A17,Atrazine,3x,3,2,0.032,0.95,0.982092893
1,A17,Atrazine,3x,4,1,0.001,0.98,0.999440403
1,A17,Metribuzin,3x,1,0,0,0.99,1
1,A17,Metribuzin,3x,2,0,0,0.99,1
1,A17,Metribuzin,3x,3,0,0,0.99,1
1,A17,Metribuzin,3x,4,0,0,0.99,1
1,A18,Atrazine,0.5x,1,0,0,0.99,1
1,A18,Atrazine,0.5x,2,1,0.021,0.97,0.979310345
1,A18,Atrazine,0.5x,3,2,0.048,0.94,0.95270936
1,A18,Atrazine,0.5x,4,0,0,0.99,1
1,A18,Metribuzin,0.5x,1,0,0,0.99,1
1,A18,Metribuzin,0.5x,2,0,0,0.99,1
1,A18,Metribuzin,0.5x,3,0,0,0.99,1
1,A18,Metribuzin,0.5x,4,0,0,0.99,1
1,A18,Atrazine,1x,1,0,0,0.99,1
1,A18,Atrazine,1x,2,5,0.02,0.86,0.980295567
1,A18,Atrazine,1x,3,5,0.058,0.86,0.942857143
1,A18,Atrazine,1x,4,0,0,0.99,1
1,A18,Metribuzin,1x,1,1,0.008,0.97,0.992118227
1,A18,Metribuzin,1x,2,0,0,0.99,1
1,A18,Metribuzin,1x,3,0,0,0.99,1
1,A18,Metribuzin,1x,4,0,0,0.99,1
1,A18,Atrazine,3x,1,0,0,0.99,1
1,A18,Atrazine,3x,2,0,0,0.99,1
1,A18,Atrazine,3x,3,1,0.004,0.97,0.996059113
1,A18,Atrazine,3x,4,0,0,0.99,1
1,A18,Metribuzin,3x,1,0,0,0.99,1
1,A18,Metribuzin,3x,2,0,0,0.99,1
1,A18,Metribuzin,3x,3,0,0,0.99,1
1,A18,Metribuzin,3x,4,0,0,0.99,1
1,A20,Atrazine,0.5x,1,38,1.176,0.01,1.00E-10
1,A20,Atrazine,0.5x,2,9,1.205,0.71,1.00E-10
1,A20,Atrazine,0.5x,3,1,,0.97,
1,A20,Atrazine,0.5x,4,2,0.046,0.94,0.959569325
1,A20,Metribuzin,0.5x,1,8,0.372,0.74,0.673038893
1,A20,Metribuzin,0.5x,2,5,0.005,0.84,0.995605362
1,A20,Metribuzin,0.5x,3,0,0,0.99,1
1,A20,Metribuzin,0.5x,4,0,0,0.99,1
1,A20,Atrazine,1x,1,11,0.506,0.65,0.55526258
1,A20,Atrazine,1x,2,14,0.907,0.55,0.202812569
1,A20,Atrazine,1x,3,8,0.606,0.74,0.467369809
1,A20,Atrazine,1x,4,5,0.05,0.84,0.956053615
1,A20,Metribuzin,1x,1,2,0.008,0.94,0.992968578
1,A20,Metribuzin,1x,2,0,0,0.99,1
1,A20,Metribuzin,1x,3,1,0.089,0.97,0.921775434
1,A20,Metribuzin,1x,4,0,0,0.99,1
1,A20,Atrazine,3x,1,0,0,0.99,1
1,A20,Atrazine,3x,2,13,0.308,0.58,0.729290266
1,A20,Atrazine,3x,3,7,0.225,0.77,0.802241266
1,A20,Atrazine,3x,4,5,0.114,0.84,0.899802241
1,A20,Metribuzin,3x,1,0,0,0.99,1
1,A20,Metribuzin,3x,2,0,0,0.99,1
1,A20,Metribuzin,3x,3,0,0,0.99,1
1,A20,Metribuzin,3x,4,0,0,0.99,1
1,A22,Atrazine,0.5x,1,2,0.109,0.94,0.934701213
1,A22,Atrazine,0.5x,2,0,0,0.99,1
1,A22,Atrazine,0.5x,3,6,0.22,0.81,0.868204283
1,A22,Atrazine,0.5x,4,0,0,0.99,1
1,A22,Metribuzin,0.5x,1,0,0,0.99,1
1,A22,Metribuzin,0.5x,2,0,0,0.99,1
1,A22,Metribuzin,0.5x,3,0,0,0.99,1
1,A22,Metribuzin,0.5x,4,0,0,0.99,1
1,A22,Atrazine,1x,1,1,0.004,0.97,0.997603714
1,A22,Atrazine,1x,2,2,0.008,0.94,0.995207429
1,A22,Atrazine,1x,3,0,0,0.99,1
1,A22,Atrazine,1x,4,0,0,0.99,1
1,A22,Metribuzin,1x,1,0,0,0.99,1
1,A22,Metribuzin,1x,2,0,0,0.99,1
1,A22,Metribuzin,1x,3,0,0,0.99,1
1,A22,Metribuzin,1x,4,0,0,0.99,1
1,A22,Atrazine,3x,1,0,0,0.99,1
1,A22,Atrazine,3x,2,0,0,0.99,1
1,A22,Atrazine,3x,3,0,0,0.99,1
1,A22,Atrazine,3x,4,0,0,0.99,1
1,A22,Metribuzin,3x,1,0,0,0.99,1
1,A22,Metribuzin,3x,2,0,0,0.99,1
1,A22,Metribuzin,3x,3,0,0,0.99,1
1,A22,Metribuzin,3x,4,0,0,0.99,1
1,A23,Atrazine,0.5x,1,13,0.193,0.01,0.784237004
1,A23,Atrazine,0.5x,2,6,0.186,0.40,0.792062605
1,A23,Atrazine,0.5x,3,2,0.001,0.80,0.998882057
1,A23,Atrazine,0.5x,4,0,0,0.99,1
1,A23,Metribuzin,0.5x,1,0,0,0.99,1
1,A23,Metribuzin,0.5x,2,0,0,0.99,1
1,A23,Metribuzin,0.5x,3,0,0,0.99,1
1,A23,Metribuzin,0.5x,4,0,0,0.99,1
1,A23,Atrazine,1x,1,3,0.005,0.70,0.994410285
1,A23,Atrazine,1x,2,0,0,0.99,1
1,A23,Atrazine,1x,3,2,0.001,0.80,0.998882057
1,A23,Atrazine,1x,4,3,0.082,0.70,0.908328675
1,A23,Metribuzin,1x,1,0,0,0.99,1
1,A23,Metribuzin,1x,2,0,0,0.99,1
1,A23,Metribuzin,1x,3,0,0,0.99,1
1,A23,Metribuzin,1x,4,0,0,0.99,1
1,A23,Atrazine,3x,1,3,0.002,0.70,0.997764114
1,A23,Atrazine,3x,2,0,0,0.99,1
1,A23,Atrazine,3x,3,1,0.001,0.90,0.998882057
1,A23,Atrazine,3x,4,0,0,0.99,1
1,A23,Metribuzin,3x,1,0,0,0.99,1
1,A23,Metribuzin,3x,2,0,0,0.99,1
1,A23,Metribuzin,3x,3,0,0,0.99,1
1,A23,Metribuzin,3x,4,0,0,0.99,1
1,A27,Atrazine,0.5x,1,0,0,0.99,1
1,A27,Atrazine,0.5x,2,1,0.002,0.95,0.998765242
1,A27,Atrazine,0.5x,3,2,0.066,0.90,0.959252971
1,A27,Atrazine,0.5x,4,7,0.234,0.65,0.855533261
1,A27,Metribuzin,0.5x,1,0,0,0.99,1
1,A27,Metribuzin,0.5x,2,0,0,0.99,1
1,A27,Metribuzin,0.5x,3,0,0,0.99,1
1,A27,Metribuzin,0.5x,4,0,0,0.99,1
