run,pop,herb,rate,rep,count,biomass,count_red,bio_red
1,A31,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A31,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A31,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A31,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A34,atrazine,0.5x,1,1,0.011,0.9622641510,0.9914926530
1,A34,atrazine,0.5x,2,6,0.382,0.7735849060,0.7045630320
1,A34,atrazine,0.5x,3,3,0.063,0.8867924530,0.9512761020
1,A34,atrazine,0.5x,4,6,0.234,0.7735849060,0.8190255220
1,A34,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A34,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A34,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A34,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A35,atrazine,0.5x,1,7,0.386,0.7333333330,0.7085142530
1,A35,atrazine,0.5x,2,2,0.004,0.9238095240,0.9969794220
1,A35,atrazine,0.5x,3,2,0.293,0.9238095240,0.7787426850
1,A35,atrazine,0.5x,4,2,0.068,0.9238095240,0.9486501790
1,A35,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
1,A35,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A35,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
1,A35,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
1,A36,atrazine,0.5x,1,9,0.632,0.6129032260,0.5386861310
1,A36,atrazine,0.5x,2,0,0,0.9999999999,0.9999999999
1,A36,atrazine,0.5x,3,0,0,0.9999999999,0.9999999999
1,A36,atrazine,0.5x,4,0,0,0.9999999999,0.9999999999
1,A36,metribuzin,0.5x,1,1,0.003,0.9569892470,0.9978102190
1,A36,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
1,A36,metribuzin,0.5x,3,1,0.071,0.9569892470,0.9481751830
1,A36,metribuzin,0.5x,4,3,0.004,0.8709677420,0.9970802920
1,A37,atrazine,0.5x,1,1,0.306,0.9578947370,0.6569506730
1,A37,atrazine,0.5x,2,20,0.83,0.1578947370,0.0695067270
1,A37,atrazine,0.5x,3,0,0,0.9999999999,0.9999999999
1,A37,atrazine,0.5x,4,0,0,0.9999999999,0.9999999999
