run,pop,herb,rate,rep,count,biomass,count_red,bio_red
1,A35,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A35,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A35,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A35,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A36,atrazine,1x,1,7,0.389,0.6989247310,0.7160583940
1,A36,atrazine,1x,2,8,0.502,0.6559139790,0.6335766420
1,A36,atrazine,1x,3,3,0.089,0.8709677420,0.9350364960
1,A36,atrazine,1x,4,5,0.281,0.7849462370,0.7948905110
1,A36,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A36,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A36,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A36,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A37,atrazine,1x,1,10,0.716,0.5789473680,0.1973094170
1,A37,atrazine,1x,2,11,0.172,0.5368421050,0.8071748880
1,A37,atrazine,1x,3,15,0.347,0.3684210530,0.6109865470
1,A37,atrazine,1x,4,6,0.206,0.7473684210,0.7690582960
1,A37,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A37,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A37,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A37,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A39,atrazine,1x,1,9,0.508,0.7187500000,0.0912343470
1,A39,atrazine,1x,2,4,0.393,0.8750000000,0.2969588550
1,A39,atrazine,1x,3,7,0.761,0.7812500000,0.0000000001
1,A39,atrazine,1x,4,3,0.166,0.9062500000,0.7030411450
1,A39,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A39,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A39,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A39,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A41,atrazine,1x,1,4,0.217,0.8202247190,0.7470125330
1,A41,atrazine,1x,2,4,0.008,0.8202247190,0.9906732730
1,A41,atrazine,1x,3,2,0.068,0.9101123600,0.9207228210
1,A41,atrazine,1x,4,3,0.005,0.8651685390,0.9941707960
1,A41,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A41,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A41,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A41,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A44,atrazine,1x,1,8,0.141,0.7192982460,0.7848149560
1,A44,atrazine,1x,2,0,0,0.9999999999,0.9999999999
1,A44,atrazine,1x,3,4,0.161,0.8596491230,0.7542922550
1,A44,atrazine,1x,4,1,0.011,0.9649122810,0.9832125140
1,A44,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A44,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A44,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A44,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A45,atrazine,1x,1,3,0.13,0.6666666670,0.4050343250
1,A45,atrazine,1x,2,11,0.881,0.0000000001,0.0000000001
1,A45,atrazine,1x,3,7,0.668,0.2222222220,0.0000000001
1,A45,atrazine,1x,4,4,0.006,0.5555555560,0.9725400460
1,A45,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A45,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A45,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A45,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A47,atrazine,1x,1,0,0,0.9999999999,0.9999999999
1,A47,atrazine,1x,2,1,0.001,0.9480519480,0.9992864790
1,A47,atrazine,1x,3,1,0.042,0.9480519480,0.9700321090
1,A47,atrazine,1x,4,1,0.044,0.9480519480,0.9686050660
1,A47,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A47,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A47,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A47,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A57,atrazine,1x,1,1,0.001,0.9545454550,0.9979024650
1,A57,atrazine,1x,2,0,0,0.9999999999,0.9999999999
1,A57,atrazine,1x,3,0,0,0.9999999999,0.9999999999
1,A57,atrazine,1x,4,1,0.12,0.9545454550,0.7482957530
1,A57,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A57,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A57,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A57,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A65,atrazine,1x,1,1,0.967,0.9090909090,0.0000000001
1,A65,atrazine,1x,2,1,0.002,0.9090909090,0.9949494950
1,A65,atrazine,1x,3,0,0,0.9999999999,0.9999999999
1,A65,atrazine,1x,4,2,0.333,0.8181818180,0.1590909090
1,A65,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A65,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A65,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A65,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A66,atrazine,1x,1,3,0.093,0.9083969470,0.9401929260
1,A66,atrazine,1x,2,4,0.006,0.8778625950,0.9961414790
1,A66,atrazine,1x,3,16,0.513,0.5114503820,0.6700964630
1,A66,atrazine,1x,4,6,0.205,0.8167938930,0.8681672030
1,A66,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A66,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A66,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A66,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A67,atrazine,1x,1,3,0.086,0.9024390240,0.9459714150
1,A67,atrazine,1x,2,2,0.052,0.9349593500,0.9673315530
1,A67,atrazine,1x,3,0,0,0.9999999999,0.9999999999
1,A67,atrazine,1x,4,2,0.077,0.9349593500,0.9516255690
1,A67,metribuzin,1x,1,0,0,0.9999999999,0.9999999999
1,A67,metribuzin,1x,2,0,0,0.9999999999,0.9999999999
1,A67,metribuzin,1x,3,0,0,0.9999999999,0.9999999999
1,A67,metribuzin,1x,4,0,0,0.9999999999,0.9999999999
1,A75,atrazine,1x,1,20,0.34,0.0000000001,0.6960893860
1,A75,atrazine,1x,2,6,0.144,0.6666666670,0.8712849160
1,A75,atrazine,1x,3,14,0.5,0.2222222220,0.5530726260
1,A75,atrazine,1x,4,2,0.056,0.8888888890,0.9499441340
