id,trt,pop,herb,dose,rate,rep,ve_21dat,ve_28dat,count_28dat,biomass,countred,biored
1,1,A90,C,0x,0,1,0.01,0.01,14,2.328,,
2,1,A90,C,0x,0,2,0.01,0.01,22,2.228,,
3,1,A90,C,0x,0,3,0.01,0.01,17,2.223,,
4,1,A90,C,0x,0,4,0.01,0.01,16,1.659,,
5,1,A90,C,0x,0,5,0.01,0.01,20,1.838,,
6,1,A90,C,0x,0,6,0.01,0.01,12,0.777,,
7,2,A90,S,0.25x,535,1,0.99,0.99,0,0,0.99,0.99
8,2,A90,S,0.25x,535,2,0.99,0.99,0,0,0.99,0.99
9,2,A90,S,0.25x,535,3,0.99,0.99,0,0,0.99,0.99
10,2,A90,S,0.25x,535,4,0.99,0.99,0,0,0.99,0.99
11,2,A90,S,0.25x,535,5,0.95,0.95,1,0.007,0.940594059,0.996200127
12,2,A90,S,0.25x,535,6,0.99,0.99,0,0,0.99,0.99
13,3,A90,S+1045,0.25x,535,1,0.99,0.99,0,0,0.99,0.99
14,3,A90,S+1045,0.25x,535,2,0.99,0.99,0,0,0.99,0.99
15,3,A90,S+1045,0.25x,535,3,0.9,0.9,1,0.084,0.940594059,0.95440152
16,3,A90,S+1045,0.25x,535,4,0.99,0.99,0,0,0.99,0.99
17,3,A90,S+1045,0.25x,535,5,0.99,0.99,0,0,0.99,0.99
18,3,A90,S+1045,0.25x,535,6,0.99,0.99,0,0,0.99,0.99
19,4,A90,S+1088,0.25x,535,1,0.99,0.99,0,0,0.99,0.99
20,4,A90,S+1088,0.25x,535,2,0.95,0.9,1,0.042,0.940594059,0.97720076
21,4,A90,S+1088,0.25x,535,3,0.99,0.99,0,0,0.99,0.99
22,4,A90,S+1088,0.25x,535,4,0.99,0.99,0,0,0.99,0.99
23,4,A90,S+1088,0.25x,535,5,0.95,0.9,2,0.098,0.881188119,0.946801773
24,4,A90,S+1088,0.25x,535,6,0.95,0.99,0,0,0.99,0.99
25,5,A90,S+1089,0.25x,535,1,0.99,0.95,1,0.006,0.940594059,0.996742966
26,5,A90,S+1089,0.25x,535,2,0.99,0.99,0,0,0.99,0.99
27,5,A90,S+1089,0.25x,535,3,0.99,0.99,0,0,0.99,0.99
28,5,A90,S+1089,0.25x,535,4,0.99,0.99,0,0,0.99,0.99
29,5,A90,S+1089,0.25x,535,5,0.99,0.99,0,0,0.99,0.99
30,5,A90,S+1089,0.25x,535,6,0.99,0.99,0,0,0.99,0.99
31,6,A90,S+1637,0.25x,535,1,0.99,0.99,0,0,0.99,0.99
32,6,A90,S+1637,0.25x,535,2,0.9,0.9,1,0.068,0.940594059,0.963086945
33,6,A90,S+1637,0.25x,535,3,0.95,0.99,0,0,0.99,0.99
34,6,A90,S+1637,0.25x,535,4,0.95,0.99,0,0,0.99,0.99
35,6,A90,S+1637,0.25x,535,5,0.95,0.99,0,0,0.99,0.99
36,6,A90,S+1637,0.25x,535,6,0.99,0.99,0,0,0.99,0.99
37,7,A90,S+1638,0.25x,535,1,0.99,0.99,0,0,0.99,0.99
38,7,A90,S+1638,0.25x,535,2,0.9,0.9,3,0.077,0.821782178,0.958201393
39,7,A90,S+1638,0.25x,535,3,0.99,0.99,0,0,0.99,0.99
40,7,A90,S+1638,0.25x,535,4,0.9,0.9,1,0.063,0.940594059,0.96580114
41,7,A90,S+1638,0.25x,535,5,0.99,0.99,0,0,0.99,0.99
42,7,A90,S+1638,0.25x,535,6,0.99,0.99,0,0,0.99,0.99
43,8,A90,S+1646,0.25x,535,1,0.95,0.99,0,0,0.99,0.99
44,8,A90,S+1646,0.25x,535,2,0.99,0.99,0,0,0.99,0.99
45,8,A90,S+1646,0.25x,535,3,0.99,0.99,0,0,0.99,0.99
46,8,A90,S+1646,0.25x,535,4,0.9,0.9,3,0.095,0.821782178,0.94843029
47,8,A90,S+1646,0.25x,535,5,0.99,0.95,1,0.004,0.940594059,0.997828644
48,8,A90,S+1646,0.25x,535,6,0.95,0.99,0,0,0.99,0.99
49,9,A90,S+1647,0.25x,535,1,0.99,0.99,0,0,0.99,0.99
50,9,A90,S+1647,0.25x,535,2,0.99,0.99,0,0,0.99,0.99
51,9,A90,S+1647,0.25x,535,3,0.99,0.99,0,0,0.99,0.99
52,9,A90,S+1647,0.25x,535,4,0.99,0.99,0,0,0.99,0.99
53,9,A90,S+1647,0.25x,535,5,0.99,0.99,0,0,0.99,0.99
54,9,A90,S+1647,0.25x,535,6,0.99,0.99,0,0,0.99,0.99
55,10,A90,S,0.5x,1070,1,0.99,0.99,0,0,0.99,0.99
56,10,A90,S,0.5x,1070,2,0.99,0.99,0,0,0.99,0.99
57,10,A90,S,0.5x,1070,3,0.99,0.99,0,0,0.99,0.99
58,10,A90,S,0.5x,1070,4,0.99,0.99,0,0,0.99,0.99
59,10,A90,S,0.5x,1070,5,0.99,0.99,0,0,0.99,0.99
60,10,A90,S,0.5x,1070,6,0.99,0.99,0,0,0.99,0.99
61,11,A90,S+1045,0.5x,1070,1,0.99,0.99,0,0,0.99,0.99
62,11,A90,S+1045,0.5x,1070,2,0.99,0.99,0,0,0.99,0.99
63,11,A90,S+1045,0.5x,1070,3,0.99,0.99,0,0,0.99,0.99
64,11,A90,S+1045,0.5x,1070,4,0.99,0.99,0,0,0.99,0.99
65,11,A90,S+1045,0.5x,1070,5,0.99,0.99,0,0,0.99,0.99
66,11,A90,S+1045,0.5x,1070,6,0.99,0.99,0,0,0.99,0.99
67,12,A90,S+1088,0.5x,1070,1,0.9,0.9,1,0.025,0.940594059,0.986429024
68,12,A90,S+1088,0.5x,1070,2,0.95,0.99,0,0,0.99,0.99
69,12,A90,S+1088,0.5x,1070,3,0.99,0.99,0,0,0.99,0.99
70,12,A90,S+1088,0.5x,1070,4,0.99,0.99,0,0,0.99,0.99
71,12,A90,S+1088,0.5x,1070,5,0.99,0.99,0,0,0.99,0.99
72,12,A90,S+1088,0.5x,1070,6,0.99,0.99,0,0,0.99,0.99
73,13,A90,S+1089,0.5x,1070,1,0.99,0.99,0,0,0.99,0.99
74,13,A90,S+1089,0.5x,1070,2,0.99,0.99,0,0,0.99,0.99
75,13,A90,S+1089,0.5x,1070,3,0.99,0.99,0,0,0.99,0.99
76,13,A90,S+1089,0.5x,1070,4,0.99,0.99,0,0,0.99,0.99
77,13,A90,S+1089,0.5x,1070,5,0.99,0.99,0,0,0.99,0.99
78,13,A90,S+1089,0.5x,1070,6,0.99,0.99,0,0,0.99,0.99
79,14,A90,S+1637,0.5x,1070,1,0.99,0.99,0,0,0.99,0.99
80,14,A90,S+1637,0.5x,1070,2,0.99,0.99,0,0,0.99,0.99
81,14,A90,S+1637,0.5x,1070,3,0.99,0.99,0,0,0.99,0.99
82,14,A90,S+1637,0.5x,1070,4,0.99,0.99,0,0,0.99,0.99
