run,pop,herb,Dose,rep,surv,biomass
2,BROOK,Dicamba,3x,4,0,0
2,BROOK,Dicamba,3x,5,0,0
2,BROOK,"2,4-D",3x,1,0,0
2,BROOK,"2,4-D",3x,2,0,0
2,BROOK,"2,4-D",3x,3,0,0
2,BROOK,"2,4-D",3x,4,0,0
2,BROOK,"2,4-D",3x,5,0,0
2,BROOK,Fomesafen,3x,1,1,0.743
2,BROOK,Fomesafen,3x,2,0,0
2,BROOK,Fomesafen,3x,3,1,0.075
2,BROOK,Fomesafen,3x,4,1,0.894
2,BROOK,Fomesafen,3x,5,1,0.323
2,BROOK,Mesotrione,3x,1,0,0
2,BROOK,Mesotrione,3x,2,1,0.196
2,BROOK,Mesotrione,3x,3,0,0
2,BROOK,Mesotrione,3x,4,0,0
2,BROOK,Mesotrione,3x,5,0,0
