run,pop,herb,rate,dose,rep,surv,biomass
2,AT2,fomesafen,0x,0,1,1,0.87
2,AT2,fomesafen,0x,0,2,1,0.996
2,AT2,fomesafen,0x,0,3,1,1.273
2,AT2,fomesafen,0.125x,32.875,1,1,0.791
2,AT2,fomesafen,0.125x,32.875,2,1,0.298
2,AT2,fomesafen,0.125x,32.875,3,1,0.536
2,AT2,fomesafen,0.25x,65.75,1,1,0.42
2,AT2,fomesafen,0.25x,65.75,2,0,0
2,AT2,fomesafen,0.25x,65.75,3,1,0.665
2,AT2,fomesafen,0.5x,131.5,1,1,0.329
2,AT2,fomesafen,0.5x,131.5,2,1,0.547
2,AT2,fomesafen,0.5x,131.5,3,1,0.531
2,AT2,fomesafen,1x,263,1,1,0.982
2,AT2,fomesafen,1x,263,2,0,0
2,AT2,fomesafen,1x,263,3,0,0
2,AT2,fomesafen,2x,526,1,1,0.445
2,AT2,fomesafen,2x,526,2,1,0.105
2,AT2,fomesafen,2x,526,3,1,0.131
2,AT2,fomesafen,4x,1052,1,1,0.412
2,AT2,fomesafen,4x,1052,2,1,0.222
2,AT2,fomesafen,4x,1052,3,0,0
2,AT2,fomesafen,8x,2104,1,0,0
2,AT2,fomesafen,8x,2104,2,0,0
2,AT2,fomesafen,8x,2104,3,0,0
2,AT8-EDGE,fomesafen,0x,0,1,1,1.041
2,AT8-EDGE,fomesafen,0x,0,2,1,1.056
2,AT8-EDGE,fomesafen,0x,0,3,1,1.676
2,AT8-EDGE,fomesafen,0.125x,32.875,1,0,0
2,AT8-EDGE,fomesafen,0.125x,32.875,2,0,0
2,AT8-EDGE,fomesafen,0.125x,32.875,3,0,0
2,AT8-EDGE,fomesafen,0.25x,65.75,1,0,0
2,AT8-EDGE,fomesafen,0.25x,65.75,2,0,0
2,AT8-EDGE,fomesafen,0.25x,65.75,3,0,0
2,AT8-EDGE,fomesafen,0.5x,131.5,1,0,0
2,AT8-EDGE,fomesafen,0.5x,131.5,2,0,0
2,AT8-EDGE,fomesafen,0.5x,131.5,3,0,0
2,AT8-EDGE,fomesafen,1x,263,1,0,0
2,AT8-EDGE,fomesafen,1x,263,2,0,0
2,AT8-EDGE,fomesafen,1x,263,3,0,0
2,AT8-EDGE,fomesafen,2x,526,1,0,0
2,AT8-EDGE,fomesafen,2x,526,2,0,0
2,AT8-EDGE,fomesafen,2x,526,3,0,0
2,AT2,fomesafen,0.015x,3.945,1,1,1.334
2,AT2,fomesafen,0.015x,3.945,2,1,1.041
2,AT2,fomesafen,0.015x,3.945,3,1,1.083
2,AT2,fomesafen,0.031x,8.153,1,1,0.895
2,AT2,fomesafen,0.031x,8.153,2,1,1.277
2,AT2,fomesafen,0.031x,8.153,3,1,0.934
2,AT2,fomesafen,0.062x,16.306,1,1,0.818
2,AT2,fomesafen,0.062x,16.306,2,1,1.262
2,AT2,fomesafen,0.062x,16.306,3,1,0.638
2,AT2,fomesafen,16x,4208,1,0,0
2,AT2,fomesafen,16x,4208,2,0,0
2,AT2,fomesafen,16x,4208,3,0,0
2,AT8-EDGE,fomesafen,0.015x,3.945,1,1,0.482
2,AT8-EDGE,fomesafen,0.015x,3.945,2,1,0.647
2,AT8-EDGE,fomesafen,0.015x,3.945,3,1,1.208
2,AT8-EDGE,fomesafen,0.031x,8.153,1,1,0.488
2,AT8-EDGE,fomesafen,0.031x,8.153,2,1,0.189
2,AT8-EDGE,fomesafen,0.031x,8.153,3,1,0.566
2,AT8-EDGE,fomesafen,0.062x,16.306,1,1,0.416
2,AT8-EDGE,fomesafen,0.062x,16.306,2,0,0
2,AT8-EDGE,fomesafen,0.062x,16.306,3,0,0
