id,run,pop,herb,dose,rate,rep,count,biomass,percentcount,percentbio,countred,biored
6,2,A92,sulf,0.015x,4,2,,,,,,
7,2,A92,sulf,0.015x,4,3,,,,,,
8,2,A92,sulf,0.015x,4,4,62,2.452,1.00,1.00,0.00,0.00
9,2,A92,sulf,0.031x,9,1,45,0.7,1.00,0.40,0.00,0.60
10,2,A92,sulf,0.031x,9,2,26,1.364,0.90,0.79,0.10,0.21
11,2,A92,sulf,0.031x,9,3,36,1.122,1.00,0.65,0.00,0.35
12,2,A92,sulf,0.031x,9,4,24,1.641,0.83,0.95,0.17,0.05
13,2,A92,sulf,0.062x,18,1,33,1.534,1.00,0.89,0.00,0.11
14,2,A92,sulf,0.062x,18,2,36,0.699,1.00,0.40,0.00,0.60
15,2,A92,sulf,0.062x,18,3,43,0.495,1.00,0.29,0.00,0.71
16,2,A92,sulf,0.062x,18,4,23,0.78,0.79,0.45,0.21,0.55
17,2,A92,sulf,0.125x,35,1,41,1.132,1.00,0.65,0.00,0.35
18,2,A92,sulf,0.125x,35,2,29,0.963,1.00,0.56,0.00,0.44
19,2,A92,sulf,0.125x,35,3,21,0.925,0.72,0.53,0.28,0.47
20,2,A92,sulf,0.125x,35,4,50,2.22,1.00,1.00,0.00,0.00
21,2,A92,sulf,0.25x,70,1,24,1.721,0.83,0.99,0.17,0.01
22,2,A92,sulf,0.25x,70,2,7,0.069,0.24,0.04,0.76,0.96
23,2,A92,sulf,0.25x,70,3,36,1.06,1.00,0.61,0.00,0.39
24,2,A92,sulf,0.25x,70,4,44,1.255,1.00,0.72,0.00,0.28
25,2,A92,sulf,0.5x,140,1,,,,,,
26,2,A92,sulf,0.5x,140,2,22,0.859,0.76,0.50,0.24,0.50
27,2,A92,sulf,0.5x,140,3,26,0.82,0.90,0.47,0.10,0.53
28,2,A92,sulf,0.5x,140,4,13,1.451,0.45,0.84,0.55,0.16
29,2,A92,sulf,1x,280,1,2,0.009,0.07,0.01,0.93,0.99
30,2,A92,sulf,1x,280,2,0,0,0.00,0.00,1.00,1.00
31,2,A92,sulf,1x,280,3,1,0.001,0.03,0.00,0.97,1.00
32,2,A92,sulf,1x,280,4,1,0.059,0.03,0.03,0.97,0.97
33,2,A92,sulf,2x,560,1,2,0.01,0.07,0.01,0.93,0.99
34,2,A92,sulf,2x,560,2,0,0,0.00,0.00,1.00,1.00
35,2,A92,sulf,2x,560,3,3,0.044,0.10,0.03,0.90,0.97
36,2,A92,sulf,2x,560,4,0,0,0.00,0.00,1.00,1.00
37,2,A92,sulf,4x,1120,1,0,0,0.00,0.00,1.00,1.00
38,2,A92,sulf,4x,1120,2,0,0,0.00,0.00,1.00,1.00
39,2,A92,sulf,4x,1120,3,0,0,0.00,0.00,1.00,1.00
40,2,A92,sulf,4x,1120,4,0,0,0.00,0.00,1.00,1.00
41,2,A92,sulf,8x,2240,1,0,0,0.00,0.00,1.00,1.00
42,2,A92,sulf,8x,2240,2,0,0,0.00,0.00,1.00,1.00
43,2,A92,sulf,8x,2240,3,0,0,0.00,0.00,1.00,1.00
44,2,A92,sulf,8x,2240,4,0,0,0.00,0.00,1.00,1.00
125,2,A66,sulf,0x,0,1,,,,,,
126,2,A66,sulf,0x,0,2,25,2.32,1.00,1.00,0.00,0.00
127,2,A66,sulf,0x,0,3,25,1.686,1.00,1.00,0.00,0.00
129,2,A66,sulf,0.015x,4,1,16,1.444,0.84,1.00,0.16,0.00
130,2,A66,sulf,0.015x,4,2,15,1.598,0.79,1.00,0.21,0.00
131,2,A66,sulf,0.015x,4,3,10,0.396,0.53,0.29,0.47,0.71
132,2,A66,sulf,0.015x,4,4,32,1.301,1.00,0.96,0.00,0.04
133,2,A66,sulf,0.031x,9,1,17,0.465,0.89,0.34,0.11,0.66
134,2,A66,sulf,0.031x,9,2,10,0.2,0.53,0.15,0.47,0.85
135,2,A66,sulf,0.031x,9,3,16,0.897,0.84,0.66,0.16,0.34
136,2,A66,sulf,0.031x,9,4,,,,,,
137,2,A66,sulf,0.062x,18,1,9,0.304,0.47,0.22,0.53,0.78
138,2,A66,sulf,0.062x,18,2,7,0.176,0.37,0.13,0.63,0.87
139,2,A66,sulf,0.062x,18,3,0,0,0.00,0.00,1.00,1.00
141,2,A66,sulf,0.125x,35,1,0,0,0.00,0.00,1.00,1.00
142,2,A66,sulf,0.125x,35,2,2,0.03,0.11,0.02,0.89,0.98
143,2,A66,sulf,0.125x,35,3,0,0,0.00,0.00,1.00,1.00
145,2,A66,sulf,0.25x,70,1,6,0.342,0.32,0.25,0.68,0.75
146,2,A66,sulf,0.25x,70,2,2,0.377,0.11,0.28,0.89,0.72
147,2,A66,sulf,0.25x,70,3,9,0.306,0.47,0.23,0.53,0.77
149,2,A66,sulf,0.5x,140,1,,,,,,
150,2,A66,sulf,0.5x,140,2,0,0,0.00,0.00,1.00,1.00
151,2,A66,sulf,0.5x,140,3,4,0.02,0.21,0.01,0.79,0.99
153,2,A66,sulf,1x,280,1,0,0,0.00,0.00,1.00,1.00
154,2,A66,sulf,1x,280,2,0,0,0.00,0.00,1.00,1.00
155,2,A66,sulf,1x,280,3,,,,,,
