exp,id,run,pop,herb,rate,rep,surv,biomass
GH,433,1,A75,"2,4D",0,1,1,2.294
GH,434,1,A75,"2,4D",0,2,1,3.733
GH,435,1,A75,"2,4D",0,3,1,4.155
GH,436,1,A75,"2,4D",0,4,1,3.434
GH,437,1,A75,"2,4D",16,1,1,2.035
GH,438,1,A75,"2,4D",16,2,1,2.418
GH,439,1,A75,"2,4D",16,3,1,2.726
GH,440,1,A75,"2,4D",16,4,1,1.748
GH,441,1,A75,"2,4D",33,1,1,2.341
GH,442,1,A75,"2,4D",33,2,1,2.458
GH,443,1,A75,"2,4D",33,3,1,2.104
GH,444,1,A75,"2,4D",33,4,1,2.511
GH,445,1,A75,"2,4D",66,1,1,1.319
GH,446,1,A75,"2,4D",66,2,1,2.481
GH,447,1,A75,"2,4D",66,3,1,3.025
GH,448,1,A75,"2,4D",66,4,1,1.141
GH,449,1,A75,"2,4D",133,1,1,1.277
GH,450,1,A75,"2,4D",133,2,1,0.737
GH,451,1,A75,"2,4D",133,3,1,0.573
GH,452,1,A75,"2,4D",133,4,1,1.12
GH,453,1,A75,"2,4D",266,1,1,1.516
GH,454,1,A75,"2,4D",266,2,1,1.212
GH,455,1,A75,"2,4D",266,3,1,0.87
GH,456,1,A75,"2,4D",266,4,1,0.735
GH,457,1,A75,"2,4D",533,1,1,0.739
GH,458,1,A75,"2,4D",533,2,1,0.314
GH,459,1,A75,"2,4D",533,3,0,0
GH,460,1,A75,"2,4D",533,4,1,0.603
GH,461,1,A75,"2,4D",1065,1,0,0
GH,462,1,A75,"2,4D",1065,2,1,0.505
GH,463,1,A75,"2,4D",1065,3,0,0
GH,464,1,A75,"2,4D",1065,4,0,0
GH,465,1,A75,"2,4D",2130,1,0,0
GH,466,1,A75,"2,4D",2130,2,0,0
GH,467,1,A75,"2,4D",2130,3,0,0
GH,468,1,A75,"2,4D",2130,4,0,0
GH,469,1,A75,"2,4D",4260,1,1,0.202
GH,470,1,A75,"2,4D",4260,2,0,0
GH,471,1,A75,"2,4D",4260,3,0,0
GH,472,1,A75,"2,4D",4260,4,1,0.201
GH,473,1,A75,"2,4D",8520,1,1,0.304
GH,474,1,A75,"2,4D",8520,2,0,0
GH,475,1,A75,"2,4D",8520,3,1,0.371
GH,476,1,A75,"2,4D",8520,4,0,0
GH,477,1,A75,"2,4D",17040,1,0,0
GH,478,1,A75,"2,4D",17040,2,0,0
GH,479,1,A75,"2,4D",17040,3,0,0
GH,480,1,A75,"2,4D",17040,4,0,0
GH,481,1,A75,"2,4D+P450",0,1,1,3.279
GH,482,1,A75,"2,4D+P450",0,2,1,2.292
GH,483,1,A75,"2,4D+P450",0,3,1,2.958
GH,484,1,A75,"2,4D+P450",0,4,1,3.825
GH,485,1,A75,"2,4D+P450",16,1,1,2.806
GH,486,1,A75,"2,4D+P450",16,2,1,1.546
GH,487,1,A75,"2,4D+P450",16,3,1,1.751
GH,488,1,A75,"2,4D+P450",16,4,0,0
GH,489,1,A75,"2,4D+P450",33,1,1,0.785
GH,490,1,A75,"2,4D+P450",33,2,1,1.529
GH,491,1,A75,"2,4D+P450",33,3,1,1.552
GH,492,1,A75,"2,4D+P450",33,4,1,1.158
GH,493,1,A75,"2,4D+P450",66,1,1,1.587
GH,494,1,A75,"2,4D+P450",66,2,1,1.602
GH,495,1,A75,"2,4D+P450",66,3,1,1.972
GH,496,1,A75,"2,4D+P450",66,4,1,1.698
GH,497,1,A75,"2,4D+P450",133,1,1,1.659
GH,498,1,A75,"2,4D+P450",133,2,1,1.096
GH,499,1,A75,"2,4D+P450",133,3,1,1.616
GH,500,1,A75,"2,4D+P450",133,4,1,0.585
GH,501,1,A75,"2,4D+P450",266,1,1,0.425
GH,502,1,A75,"2,4D+P450",266,2,1,0.518
GH,503,1,A75,"2,4D+P450",266,3,1,0.647
GH,504,1,A75,"2,4D+P450",266,4,1,1.806
GH,505,1,A75,"2,4D+P450",533,1,1,0.145
GH,506,1,A75,"2,4D+P450",533,2,1,0.378
GH,507,1,A75,"2,4D+P450",533,3,1,0.517
GH,508,1,A75,"2,4D+P450",533,4,1,0.51
