exp,id,run,pop,herb,rate,rep,surv,biomass
GH,1,1,A82,"2,4D",0,1,1,3.233
GH,2,1,A82,"2,4D",0,2,1,3.203
GH,3,1,A82,"2,4D",0,3,1,4.131
GH,4,1,A82,"2,4D",0,4,1,4.264
GH,5,1,A82,"2,4D",16,1,1,2.534
GH,6,1,A82,"2,4D",16,2,1,3.098
GH,7,1,A82,"2,4D",16,3,1,2.162
GH,8,1,A82,"2,4D",16,4,1,2.023
GH,9,1,A82,"2,4D",33,1,1,2.988
GH,10,1,A82,"2,4D",33,2,1,2.028
GH,11,1,A82,"2,4D",33,3,1,2.006
GH,12,1,A82,"2,4D",33,4,1,2.49
GH,13,1,A82,"2,4D",66,1,1,1.238
GH,14,1,A82,"2,4D",66,2,1,2.36
GH,15,1,A82,"2,4D",66,3,1,2.26
GH,16,1,A82,"2,4D",66,4,1,2.366
GH,17,1,A82,"2,4D",133,1,1,1.105
GH,18,1,A82,"2,4D",133,2,1,2.358
GH,19,1,A82,"2,4D",133,3,1,1.971
GH,20,1,A82,"2,4D",133,4,1,1.828
GH,21,1,A82,"2,4D",266,1,1,0.687
GH,22,1,A82,"2,4D",266,2,1,0.563
GH,23,1,A82,"2,4D",266,3,1,1.572
GH,24,1,A82,"2,4D",266,4,0,0
GH,25,1,A82,"2,4D",533,1,1,0.58
GH,26,1,A82,"2,4D",533,2,1,0.291
GH,27,1,A82,"2,4D",533,3,0,0
GH,28,1,A82,"2,4D",533,4,0,0
GH,29,1,A82,"2,4D",1065,1,0,0
GH,30,1,A82,"2,4D",1065,2,0,0
GH,31,1,A82,"2,4D",1065,3,0,0
GH,32,1,A82,"2,4D",1065,4,0,0
GH,33,1,A82,"2,4D",2130,1,0,0
GH,34,1,A82,"2,4D",2130,2,0,0
GH,35,1,A82,"2,4D",2130,3,0,0
GH,36,1,A82,"2,4D",2130,4,0,0
GH,37,1,A82,"2,4D",4260,1,0,0
GH,38,1,A82,"2,4D",4260,2,0,0
GH,39,1,A82,"2,4D",4260,3,0,0
GH,40,1,A82,"2,4D",4260,4,0,0
GH,41,1,A82,"2,4D",8520,1,0,0
GH,42,1,A82,"2,4D",8520,2,0,0
GH,43,1,A82,"2,4D",8520,3,0,0
GH,44,1,A82,"2,4D",8520,4,0,0
GH,45,1,A82,"2,4D",17040,1,0,0
GH,46,1,A82,"2,4D",17040,2,0,0
GH,47,1,A82,"2,4D",17040,3,0,0
GH,48,1,A82,"2,4D",17040,4,0,0
GH,49,1,A82,"2,4D+P450",0,1,1,3.225
GH,50,1,A82,"2,4D+P450",0,2,1,2.789
GH,51,1,A82,"2,4D+P450",0,3,1,3.133
GH,52,1,A82,"2,4D+P450",0,4,1,2.802
GH,53,1,A82,"2,4D+P450",16,1,1,2.185
GH,54,1,A82,"2,4D+P450",16,2,1,2.051
GH,55,1,A82,"2,4D+P450",16,3,1,2.341
GH,56,1,A82,"2,4D+P450",16,4,1,1.91
GH,57,1,A82,"2,4D+P450",33,1,1,2.146
GH,58,1,A82,"2,4D+P450",33,2,1,2.953
GH,59,1,A82,"2,4D+P450",33,3,1,1.354
GH,60,1,A82,"2,4D+P450",33,4,1,1.126
GH,61,1,A82,"2,4D+P450",66,1,1,0.952
GH,62,1,A82,"2,4D+P450",66,2,1,2.222
GH,63,1,A82,"2,4D+P450",66,3,1,1.543
GH,64,1,A82,"2,4D+P450",66,4,1,1.687
GH,65,1,A82,"2,4D+P450",133,1,1,1.487
GH,66,1,A82,"2,4D+P450",133,2,1,1.343
GH,67,1,A82,"2,4D+P450",133,3,1,2.444
GH,68,1,A82,"2,4D+P450",133,4,1,0.478
GH,69,1,A82,"2,4D+P450",266,1,1,0.993
GH,70,1,A82,"2,4D+P450",266,2,1,0.786
